rid,city,candidate,gender,party,votes,total,won,year,position
BARMM,LANAO DEL SUR,"SULTAN, HASAN M.",0,LAKAS-NUCD/OMPIA ,22649,139774,1,1992,1st District Sangguniang Panlalawigan
BARMM,LANAO DEL SUR,"BUBONG, DATU MINOMA P.",0,NPC/PP,31125,139774,1,1992,1st District Sangguniang Panlalawigan
BARMM,LANAO DEL SUR,"PANDAPATAN, JAMIL M.",0,LAKAS-NUCD/OMPIA,51778,139774,1,1992,1st District Sangguniang Panlalawigan
BARMM,LANAO DEL SUR,"YAHYA, JAMIL D.",0,LAKAS-NUCD,34222,139774,1,1992,1st District Sangguniang Panlalawigan
BARMM,LANAO DEL SUR,"ADIONG, MAMINTAL M.",0,LAKAS-NUCD,32489,132705,1,1992,1st District Representative
BARMM,LANAO DEL SUR,"ALONTO, ABUL KHAYR D.",0,MFP-NP,11999,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"CALACA, SULTAN MESUG D.",0,NPC-PP,5596,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"GUTOC, TOMANINA A.",0,NUCD,25166,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"LUCMAN, OMERA HAFIDAH D.",0,NUCD-UMDP,31304,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"MAGARANG, ABDULGAFFAR BUSAR M.",0,IND-NP-KBL,1031,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"NAGA, ISMAEL JR. A.",0,PMP,1004,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"PANARIGAN, MOHAMAD-LOMALA M.",0,PMP,837,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"SARIP, TAGO R.",0,LDP,22764,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"TAULO, IMADDODIN TOGOD A.",0,PSP,515,132705,0,1992,1st District Representative
BARMM,LANAO DEL SUR,"AMEROL, ABDULWAHAB M.",0,OMPIA PARTY,19555,77822,1,1992,2nd District Sangguniang Panlalawigan
BARMM,LANAO DEL SUR,"BALINDONG, MANGAWAN P.",0,LAKAS-NUCD,19510,77822,1,1992,2nd District Sangguniang Panlalawigan
BARMM,LANAO DEL SUR,"LUCMAN, DATU HARON C.G.U",0,LDP,19040,77822,1,1992,2nd District Sangguniang Panlalawigan
BARMM,LANAO DEL SUR,"NANAK, TAIB -",0,LAKAS-NUCD/OMPIA,19717,77822,1,1992,2nd District Sangguniang Panlalawigan
BARMM,LANAO DEL SUR,"ALAUYA, SAADUDDIN A.",0,OMPIA-LAKAS-NUCD-UMDP,16027,90737,0,1992,2nd District Representative
BARMM,LANAO DEL SUR,"BALINDONG, LOMALA M.",0,COALLAKAS-NUCD,15512,90737,0,1992,2nd District Representative
BARMM,LANAO DEL SUR,"BALINDONG, MOHAMAD ALI M.",0,LAKAS-NUCD,6803,90737,0,1992,2nd District Representative
BARMM,LANAO DEL SUR,"DIMAPORO, MOHAMAD ALI B.",0,KBL,18209,90737,1,1992,2nd District Representative
BARMM,LANAO DEL SUR,"DIPATUAN, PALA T.",0,LDP,17516,90737,0,1992,2nd District Representative
BARMM,LANAO DEL SUR,"LUCMAN, JAMIL P.",0,INDEPENDENT,13988,90737,0,1992,2nd District Representative
BARMM,LANAO DEL SUR,"MALIK, JACOB T.",0,IND/NP-KBL,2156,90737,0,1992,2nd District Representative
BARMM,LANAO DEL SUR,"PALAWAN, SULTAN MAGDAGA D.",0,NP,526,90737,0,1992,2nd District Representative
BARMM,LANAO DEL SUR,"UMPAR, OMAR B.",0,LAKAS-NUCD/OMPIA,73987,73987,1,1992,Vice-Governor
BARMM,MAGUINDANAO,"ABDULGANI, SEDIK P.",0,NPC,9562,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ALAMADA, UMBAL R.",0,LAKAS-NUCD,16625,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ALFONSO, DATU SADHA G.",0,LAKAS-NUCD,6625,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ALI, CABASAN P.",0,LDP,12088,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"AMBOLADTO, PASANDALAN S.",0,LDP,16295,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ANGKIG, RAZHED H.",0,KBL,1907,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"BANDARA, MORSALLIN M.",0,LAKAS-NUCD,1266,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"BARAGUIR, AMIR A.",0,LDP,7806,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"BARAQUIR, ISRAEL -",0,LAKAS-NUCD,8853,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"BILAO, DUMAGAY M.",0,NP,9675,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"BIRUAR, JOHAINA S.",0,LAKAS-NUCD,17738,333896,1,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"BIRUAR, MAGSAYSAY B.",0,NPC,19789,333896,1,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"DAUDIE, ALONTO -",0,NPC-PP,17515,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"DIRANGAREN, MICHAEL B.",0,PMP,21698,333896,1,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"DUMAMBA, DATAYA ESMAEL D.",0,KBL,4252,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"GAMPONG, DATU MANAN B.",0,PMP,10776,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"GAMPONG, MAGUID G.",0,KBL,1431,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"GULLON, HARRY -",0,LDP,8501,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"KANAKAN, MOHAMAD P.",0,INDEPENDENT,20983,333896,1,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"LIDASAM, KUTA I.",0,IPP,11943,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MACAUYAG, CAMAR -",0,NUCD,14312,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MAKAKUA, MANDO M.",0,NPC,6161,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MALA, DIRON -",0,PP-NPC,9837,333896,0,1992,1st District Sangguniang Panlalawigan
